,Name,Price,Change,Volume
0,CORE,$3.78,19.51%,37
1,TAO,$564.64,13.32%,35
2,LTC,$106.63,8.34%,19
3,BGB,$1.12,5.39%,66
4,ENA,$0.7076,2.90%,97
5,MNT,$1.23,0.99%,29
6,APT,$15.04,13.87%,22
7,CFX,$0.3657,12.10%,71
8,KAVA,$0.9241,11.68%,96
9,AXL,$1.75,11.06%,91
10,PEPE,$0.000007008,9.75%,45
11,SUI,$1.75,9.40%,52
12,BONK,$0.00002284,9.23%,67
13,ORDI,$58.22,8.95%,81
14,OP,$3.14,8.90%,42
15,AVAX,$46.99,8.66%,10
16,FLOKI,$0.0002076,8.54%,58
17,PYTH,$0.8465,8.34%,79
18,WLD,$6.94,8.28%,84
19,DOGE,$0.1837,8.19%,8
20,MINA,$1.05,8.13%,87
21,UNI,$11.30,8.12%,20
22,GRT,$0.3361,8.09%,41
23,1000SATS,$0.0004598,8.09%,99
24,AAVE,$114.35,8.01%,64
25,GALA,$0.05735,7.96%,61
26,AGIX,$1.09,7.76%,73
27,SHIB,$0.00002617,7.08%,12
28,CAKE,$3.95,7.07%,98
29,SEI,$0.7093,7.04%,59
30,INJ,$31.72,7.04%,44
31,JUP,$1.54,6.91%,57
32,XTZ,$1.23,6.89%,83
33,THETA,$2.59,6.87%,47
34,TON,$4.94,6.74%,11
35,IMX,$2.66,6.73%,32
